Country Name,Eligible population,Total English speakers,Total English speakers,As first language,As first language,As an additional language,As an additional language,Notes
Country,Eligible population,No.,%,No.,%,No.,%,Notes
United States,"312,142,415","299,270,000",95.88,"244,079,241",78.19,"55,191,937",17.68,"Figures are from the 2022 American Community Survey 5-year estimates by the U.S. Census Bureau for persons age 5 and older. Total English speakers are those who either spoke English at home (i.e. as first language), or reported speaking another language at home but could speak English ""very well"" or ""well"" (i.e. as an additional language)."
India,"1,450,000,000","228,539,090",15.76,"259,678",0.02,"228,279,412",15.74,"2024 estimate figures for population and first, second, and third languages. English as a first language is only spoken by 259,678 people, as a second language by 182,717,239 and as a third language by 45,562,173."
Nigeria,"206,200,000","125,039,680",60.64,"20,000,000",9.70,"103,198,040",50.05,"English is the most widespread language in the country due to the many different languages spoken, with 60 million speakers. This includes speakers of an English creole, accounting for 51% to 57% of the total population. It is estimated 10% of Nigerians speak English as a first language."
Pakistan,"220,892,331","108,044,691",48.91,"8,642",0.0035,"108,036,049",48.91,"English is one of the official languages under the constitution and is commonly used in education and administration. According to statistics from various sources, the English-speaking population ranges from 88.69 million to 108 million, accounting for 49% to 58% of the total population."
United Kingdom,"64,835,742","63,718,834",98.28,"59,323,568",91.50,"4,395,266",6.78,"Source: Data from the 2021 census for England and Wales, Scotland, and Northern Ireland. Additional English speaker figures are for usual residents aged 3 years and over with a main language other than English who can speak English ""very well"" or ""well"" (or, in the case of Scotland, those who have reported speaking ability in English)."
Philippines,"110,000,000","70,117,935",63.74,"36,935",0.04,"70,081,000",63.71,"Over 60 million people aged 5 years or more can speak English. ""Six out of 10 people aged 5 and over can speak English (63.71%)."""
Germany,"82,347,000","45,900,000",55.73,"774,000",0.94,"45,100,000",54.76,"Native speakers: Mikrozensus 2021, Statistisches Bundesamt.
Non-native speakers: Eurobarometer report 2012
Does not include foreign military personnel based in Germany."
Uganda,"44,270,000","19,800,000",45,0,0,"19,800,000",45,Source: Uganda Bureau of Statistics (2016)
France,"67,500,000","38,643,750",57.25,0,0,"38,643,750",57.25,"Note: In Paris, 60.28% of the population has ""reasonable competency"", while 57.25% of the entire country has ""reasonable competency""."
Canada,"37,138,500","30,480,750",83.06,"20,193,335",54.37,"10,287,415",28.69,"The 2016 count reported that 23,757,525 people were able to conduct a conversation in English only, while 6,216,065 were able to converse in both English and French. The census also asked for the first language learned at home in childhood and still understood by the individual: 52% or 19,460,850 reported English as their only mother tongue, 165,320 reported both English and French as mother tongues, 533,265 reported English and a non-official language as mother tongues, and 33,900 reported English, French and a non-official language as mother tongues. The data also show that 26,007,500 Canadians report English as their first official language spoken."
Egypt,"110,990,000","44,373,802",39.98,"5,527,302",5,"38,846,500",35,Source: Euromonitor International Report 2019
Australia,"25,422,788","23,161,344",91.10,"18,303,662",72.00,"4,857,672",19.10,"Source: 2021 census. The 2021 census data is subject to multiple interpretations. The data noted that 18,303,662 persons out of 23,401,892 total only spoke English, and a further 4,857,672 spoke English either ""Very Well"" or ""Well"". A further 872,213 persons were listed as speaking English ""Not Well"" or ""Not At All"". However, 1,389,243 persons provided incomplete information; 1,331,417 provided no language or proficiency details and 57,828 gave no information on proficiency."
Bangladesh,"165,158,616","10,784,488",6.53,"709,873",0.43,"10,074,615",6.10,"Population data are from 2022 Bangladeshi census, and second language data come from the subsequent survey"
Poland,"38,036,118","19,000,000",50,"737,276",1.94,"18,000,000",48,"Source: AutoLingual (blog).
 Number of first language speakers comes from Statistics Poland. However, of the 737,276 people who spoke English ""at home"", 714,002 also spoke another language ""at home"", including 707,487 people who also spoke Polish ""at home""."
Ghana,"26,210,872","17,610,870",67.19,0,0,"17,610,870",67.19,"Source: 2021 Ghanaian Census, on population aged 6 or above who were ""literate"" in English."
Thailand,"63,038,247","17,121,187",27.16,0,0,"17,121,187",27.16,"Source: Crystal (2003), p. 109."
Ukraine,"33,365,000","17,016,000",51,0,0,"17,016,000",51,Source: sociological study by KIIS
Italy,"59,619,290","8,121,000",13.74,0,0,"8,121,000",13.74,Source: languageknowledge.eu
South Africa,"59,876,448","16,722,208",27.93,"5,228,301",8.73,"11,493,907",22,"Native speakers from 2022 Census.
Non-native speakers: Crystal (2003), p. 109."
Mexico,"120,664,000","15,686,262",12.9,0,0,"15,686,262",12.9,"Consulta Mitofsky-Tracking Poll Roy Campos: Las Lenguas Extranjeras en México, January 2013; and II Conteo de Población y Vivienda, Instituto Nacional de Estadística, Geografía e Informática (INEGI)"
Malaysia,"27,170,000","15,580,000",62.57,"380,000",1.4,"15,200,000",61.1,EF English Proficiency Index
Indonesia,"279,118,866","85,968,611",30.8,"837,356",0.3,"85,131,255",30.5,Indonesians learn English as a major foreign language.
Afghanistan,"41,130,000","2,467,800",6,0,0,"2,467,800",6,"During the two decades since the U.S. military intervened in Afghanistan, English as a foreign language was learned by 6% of Afghans. (see Languages of Afghanistan)"
Netherlands,"16,770,000","15,250,000",90.90,0,0,"15,250,000",90.9,Source: Eurobarometer report 2016
Turkey,"80,200,256","12,000,000",17,0,0,"12,000,000",17,Source: Eurobarometer report 2006
Zimbabwe,"14,439,000","11,850,710",90,"505,365",5,"11,530,710",79.86,
Iraq,"31,700,000","11,095,000",35.00,95000,0.30,"11,000,000",34.70%,Source: Euromonitor International report (2011)
Brazil,"216,000,000","12,000,000",5,"292,000",0.14,"10,250,000",5,Source: British council (2012) and EF. Only 5% of Brazilians have a proficient grasp of English as a second or foreign additional language and an additional 6% have a very rudimentary knowledge.
Spain,"47,190,000","10,400,000",22,0,0,"10,400,000",22,Source: Eurobarometer report 2012
China,"1,432,035,200","10,000,000",0.9,0,0,"10,000,000",<1,"Figures are for English users in mainland China only (i.e. excluding Hong Kong where English is an official language and Macau). The often-cited figure of 300 million is for ""learners."""
Sweden,"10,377,771","9,236,000",89,0,0,"9,236,000",89,"Source: Statistics Sweden, 2021"
Kenya,"52,533,109","41,332,711",78.68,0,0,"7,900,000",,"Source: Crystal (2003), p. 109."
Cameroon,"19,740,000","7,500,000",38,0,0,"7,500,000",38,Euromonitor International Report (2009)
Morocco,"37,340,000","6,883,220",18.3,0,0,"6,883,220",18.3,
Belgium,"10,584,534","6,250,000",60,0,0,"6,250,000",60,"Source: Eurobarometer report 2006 The Belgian population is divided in two distinct linguistic regions: The Belgian Dutch-speaking Flanders, and the Belgian French-speaking Wallonia (the region of Brussels also has a majority of native French speakers). Like in the Netherlands, a high percentage of Flemish people speak English fluently, and in Wallonia, a lower percentage of people speak English (as it is the case in France), which brings down the total percentage."
